id,n_victimas,aaaa,mm,dd,fecha,participantes
LC-2019-0000179,1,2019,1,1,2019-01-01,CICLISTA-SD
LC-2019-0000053,1,2019,1,1,2019-01-01,AUTO-SD
LC-2019-0000063,1,2019,1,1,2019-01-01,SD-SD
LC-2019-0000079,1,2019,1,1,2019-01-01,PEATON-SD
LC-2019-0000082,4,2019,1,1,2019-01-01,AUTO-SD
LC-2019-0000136,2,2019,1,1,2019-01-01,MOTO-SD
LC-2019-0000142,1,2019,1,1,2019-01-01,MOTO-SD
LC-2019-0000194,1,2019,1,1,2019-01-01,AUTO-SD
LC-2019-0000202,1,2019,1,1,2019-01-01,MOTO-SD
LC-2019-0000329,1,2019,1,1,2019-01-01,AUTO-SD
LC-2019-0000347,1,2019,1,1,2019-01-01,AUTO-SD
LC-2019-0000445,3,2019,1,1,2019-01-01,AUTO-SD
LC-2019-0000493,1,2019,1,1,2019-01-01,SD-SD
LC-2019-0000600,1,2019,1,1,2019-01-01,SD-SD
LC-2019-0000636,1,2019,1,1,2019-01-01,AUTO-SD
LC-2019-0000647,1,2019,1,1,2019-01-01,MOTO-SD
LC-2019-0000686,1,2019,1,1,2019-01-01,AUTO-SD
LC-2019-0005235,1,2019,1,1,2019-01-01,SD-SD
LC-2019-0002218,1,2019,1,2,2019-01-02,CICLISTA-SD
LC-2019-0000928,1,2019,1,2,2019-01-02,MOTO-SD
LC-2019-0000963,5,2019,1,2,2019-01-02,TRANSPORTE PUBLICO-SD
LC-2019-0001754,1,2019,1,2,2019-01-02,CAMIONETA-SD
LC-2019-0001879,1,2019,1,2,2019-01-02,SD-SD
LC-2019-0001948,1,2019,1,2,2019-01-02,PEATON-SD
LC-2019-0001987,1,2019,1,2,2019-01-02,MOTO-SD
LC-2019-0001992,1,2019,1,2,2019-01-02,MOTO-SD
LC-2019-0002083,1,2019,1,2,2019-01-02,SD-SD
LC-2019-0002208,1,2019,1,2,2019-01-02,SD-SD
LC-2019-0002740,1,2019,1,2,2019-01-02,SD-SD
LC-2019-0003220,2,2019,1,2,2019-01-02,SD-SD
LC-2019-0003340,1,2019,1,2,2019-01-02,SD-SD
LC-2019-0005610,1,2019,1,2,2019-01-02,AUTO-SD
LC-2019-0020183,1,2019,1,2,2019-01-02,SD-SD
LC-2019-0022496,1,2019,1,2,2019-01-02,SD-SD
LC-2019-0003428,1,2019,1,3,2019-01-03,MOTO-SD
LC-2019-0003432,1,2019,1,3,2019-01-03,SD-SD
LC-2019-0003642,1,2019,1,3,2019-01-03,SD-SD
LC-2019-0003787,1,2019,1,3,2019-01-03,SD-SD
LC-2019-0003862,2,2019,1,3,2019-01-03,SD-SD
LC-2019-0003884,1,2019,1,3,2019-01-03,SD-SD
LC-2019-0004144,1,2019,1,3,2019-01-03,SD-SD
LC-2019-0004229,1,2019,1,3,2019-01-03,SD-SD
LC-2019-0004442,2,2019,1,3,2019-01-03,SD-SD
LC-2019-0004565,1,2019,1,3,2019-01-03,SD-SD
LC-2019-0004621,1,2019,1,3,2019-01-03,MOTO-SD
LC-2019-0004622,1,2019,1,3,2019-01-03,AUTO-SD
LC-2019-0004652,1,2019,1,3,2019-01-03,SD-SD
LC-2019-0004717,1,2019,1,3,2019-01-03,SD-SD
LC-2019-0004718,1,2019,1,3,2019-01-03,SD-SD
LC-2019-0005334,1,2019,1,3,2019-01-03,SD-SD
LC-2019-0005614,1,2019,1,3,2019-01-03,SD-SD
LC-2019-0005622,1,2019,1,3,2019-01-03,SD-SD
LC-2019-0005638,2,2019,1,3,2019-01-03,SD-SD
LC-2019-0005647,1,2019,1,3,2019-01-03,SD-SD
LC-2019-0005681,1,2019,1,3,2019-01-03,MOTO-SD
LC-2019-0005764,1,2019,1,3,2019-01-03,PEATON-SD
LC-2019-0005815,1,2019,1,3,2019-01-03,MOTO-SD
LC-2019-0005979,1,2019,1,3,2019-01-03,MOTO-SD
LC-2019-0007021,1,2019,1,4,2019-01-04,CICLISTA-SD
LC-2019-0007536,1,2019,1,4,2019-01-04,CICLISTA-SD
LC-2019-0006068,2,2019,1,4,2019-01-04,MOTO-SD
LC-2019-0006306,1,2019,1,4,2019-01-04,MOTO-SD
LC-2019-0006547,1,2019,1,4,2019-01-04,PEATON-SD
LC-2019-0006638,2,2019,1,4,2019-01-04,MOTO-SD
LC-2019-0006659,1,2019,1,4,2019-01-04,AUTO-SD
LC-2019-0006789,1,2019,1,4,2019-01-04,SD-SD
LC-2019-0006837,1,2019,1,4,2019-01-04,PEATON-SD
LC-2019-0006857,1,2019,1,4,2019-01-04,PEATON-SD
LC-2019-0007002,1,2019,1,4,2019-01-04,SD-SD
LC-2019-0007187,1,2019,1,4,2019-01-04,MOTO-SD
LC-2019-0007294,1,2019,1,4,2019-01-04,MOTO-SD
LC-2019-0007336,1,2019,1,4,2019-01-04,AUTO-SD
LC-2019-0007634,1,2019,1,4,2019-01-04,MOTO-SD
LC-2019-0007660,1,2019,1,4,2019-01-04,MOTO-SD
